"","age","gender","Impair","CI_low","CI_up","type"
"1","65-70","man",0.037449274161642,0.0302586471008045,0.0446399012224794,"tested"
"2","70-75","man",0.0644043156069885,0.052869154179667,0.07593947703431,"tested"
"3","75-80","man",0.081056343985359,0.0645330073969431,0.0975796805737749,"tested"
"4","80-85","man",0.141983078950474,0.111867307239596,0.172098850661353,"tested"
"5","85+","man",0.258030075811686,0.213409504696986,0.302650646926385,"tested"
"6","65-70","woman",0.0585117222728122,0.049739123048117,0.0672843214975074,"tested"
"7","70-75","woman",0.107832921062584,0.0932387165650289,0.122427125560139,"tested"
"8","75-80","woman",0.156292130832136,0.13433421442763,0.178250047236643,"tested"
"9","80-85","woman",0.263794793930167,0.227160274753576,0.300429313106759,"tested"
"10","85+","woman",0.374060757513929,0.329058747631494,0.419062767396364,"tested"
"11","65-70","man",0.25265497517527,0.235757879407953,0.269552070942587,"reported_100"
"12","70-75","man",0.321121849560159,0.298725206957564,0.343518492162755,"reported_100"
"13","75-80","man",0.366968441678792,0.336540863907984,0.397396019449601,"reported_100"
"14","80-85","man",0.444274666417412,0.402227534520685,0.486321798314139,"reported_100"
"15","85+","man",0.5650316313717,0.514055869545495,0.616007393197906,"reported_100"
"16","65-70","woman",0.367036990167542,0.34880661290262,0.385267367432464,"reported_100"
"17","70-75","woman",0.45557790358087,0.431939244066223,0.479216563095517,"reported_100"
"18","75-80","woman",0.501309224275708,0.470899813325332,0.531718635226085,"reported_100"
"19","80-85","woman",0.572379085067816,0.53179764451148,0.612960525624152,"reported_100"
"20","85+","woman",0.658881021037425,0.615430897593919,0.70233114448093,"reported_100"
"21","65-70","man",0.0389694648185361,0.0315381744354009,0.0464007552016713,"reported_across"
"22","70-75","man",0.0522883140501612,0.0417338949533002,0.0628427331470222,"reported_across"
"23","75-80","man",0.0795060381084213,0.0624491742003834,0.0965629020164593,"reported_across"
"24","80-85","man",0.110880682645405,0.0841085484968054,0.137652816794005,"reported_across"
"25","85+","man",0.165684982205396,0.129178128820583,0.202191835590209,"reported_across"
"26","65-70","woman",0.0474107873603268,0.0393995305427313,0.0554220441779223,"reported_across"
"27","70-75","woman",0.0753306464965844,0.0626757987400124,0.0879854942531564,"reported_across"
"28","75-80","woman",0.125493710815541,0.104967015017527,0.146020406613554,"reported_across"
"29","80-85","woman",0.186530514137447,0.153996614783696,0.219064413491199,"reported_across"
"30","85+","woman",0.272687189398731,0.230318992585744,0.315055386211718,"reported_across"
