country,sex,age,AgeInt,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex
Belgium,Male,25,5,0.000603971,2.584858303,0.003015455,99036.13871,298.6390078,494459.438,0.996430737,5369074.353,54.2132844
Belgium,Male,30,5,0.000804003,2.493446559,0.004011931,98737.4997,396.1280084,492694.5825,0.995418128,4874614.915,49.36943846
Belgium,Male,35,5,0.00108985,2.624448318,0.00543518,98341.37169,534.5030096,490437.1189,0.993756869,4381920.333,44.55825923
Belgium,Male,40,5,0.001549264,2.802745568,0.007720041,97806.86868,755.073016,487375.2559,0.989774805,3891483.214,39.78742256
Belgium,Male,45,5,0.002493245,2.616047696,0.012392569,97051.79567,1202.721037,482391.7487,0.98434996,3404107.958,35.07516718
Belgium,Male,50,5,0.004042498,2.706193224,0.020026788,95849.07463,1919.549058,474842.2985,0.972928516,2921716.209,30.48246653
Belgium,Male,55,5,0.007218648,2.703092962,0.035504556,93929.52557,3334.92607,461987.6127,0.954857874,2446873.911,26.05010401
Belgium,Male,60,5,0.011345763,2.634261134,0.055245954,90594.5995,5004.985063,441132.5098,0.93278741,1984886.298,21.90954327
Belgium,Male,65,5,0.01698639,2.644328403,0.081664207,85589.61444,6989.608015,411482.8511,0.900205552,1543753.788,18.0366952
Belgium,Male,70,5,0.02596179,2.651919923,0.122350423,78600.00642,9616.744029,370419.1471,0.84604703,1132270.937,14.40548148
Belgium,Male,75,5,0.04260606,2.639054046,0.193559983,68983.26239,13352.39907,313392.0194,0.588644375,761851.7901,11.04400928
Belgium,Male,80,5,0.124048726,8.061348393,1,55630.86332,55630.86332,448459.7706,0,448459.7706,8.061348393
Bulgaria,Female,0,1,0.005859996,0.14,0.005830612,100000,583.0612452,99498.56733,0.993620214,7812665.903,78.12665903
Bulgaria,Female,1,4,0.000327579,1.26305983,0.001309143,99416.93875,130.1509871,397311.5396,0.998934138,7713167.335,77.5840358
Bulgaria,Female,5,5,0.000137995,2.760601018,0.000689759,99286.78777,68.48399319,496280.5759,0.999220314,7315855.796,73.68408184
