"","age","gender","country","Impair","CI_low","CI_up"
"75","85+","man","Czech Republic",0.538739117743388,0.327508624343249,0.749969611143527
"76","75-80","woman","Czech Republic",0.516562917864629,0.37968705704855,0.653438778680709
"77","80-85","woman","Czech Republic",0.649608280119023,0.52283910462589,0.776377455612156
"78","85+","woman","Czech Republic",0.758583663530438,0.602022737913793,0.915144589147083
"79","75-80","man","Poland",0.595123778928024,0.461030663936137,0.729216893919911
"80","80-85","man","Poland",0.493655451382241,0.400494741500828,0.586816161263653
"81","85+","man","Poland",0.654817894356008,0.472747380889414,0.836888407822602
"82","75-80","woman","Poland",0.654828083625391,0.594142019606936,0.715514147643847
"83","80-85","woman","Poland",0.836855637041735,0.800481235404488,0.873230038678982
"84","85+","woman","Poland",0.910448509723414,0.882970705297066,0.937926314149762
"85","75-80","man","Ireland",0.529394324810784,0.285239864502354,0.773548785119214
"86","80-85","man","Ireland",0.376727731055318,0.266636678008037,0.4868187841026
"87","85+","man","Ireland",0.384595504175148,0.106239444873048,0.662951563477249
"88","75-80","woman","Ireland",0.449271950043854,0.40150981904368,0.497034081044027
"89","80-85","woman","Ireland",0.546378738150883,0.532088469228477,0.560669007073289
"90","85+","woman","Ireland",0.904763175076144,0.886981218734079,0.922545131418209
