"","age","gender","Impair","CI_low","CI_up"
"1","75-80","man",0.47231966094622,0.440157822412885,0.504481499479554
"2","80-85","man",0.529114307493051,0.484779057957604,0.573449557028498
"3","85+","man",0.643776369397716,0.590961275518466,0.696591463276967
"4","75-80","woman",0.530321363285519,0.496746774803375,0.563895951767663
"5","80-85","woman",0.620706501159262,0.578993656514302,0.662419345804222
"6","85+","woman",0.741131737387867,0.702087355436283,0.780176119339451
