"","age","gender","Impair","CI_low","CI_up","type"
"1","65-70","female",0.032353358901284,0.0242237025334962,0.0404830152690717,"tested"
"2","70-75","female",0.0559651546041183,0.0493323157571314,0.0625979934511053,"tested"
"3","75-80","female",0.0696662672449843,0.0589981300714345,0.080334404418534,"tested"
"4","80-85","female",0.124460660520819,0.111559185976078,0.13736213506556,"tested"
"5","85+","female",0.237216735577026,0.215275757293653,0.259157713860399,"tested"
"6","65-70","male",0.0229534480704036,0.0159609612507032,0.029945934890104,"tested"
"7","70-75","male",0.0229432165501961,0.0168842114701534,0.0290022216302388,"tested"
"8","75-80","male",0.0435975911110518,0.0356194274585398,0.0515757547635638,"tested"
"9","80-85","male",0.0742305373298181,0.0609723800842178,0.0874886945754183,"tested"
"10","85+","male",0.123980938334267,0.0986183910578631,0.14934348561067,"tested"
"11","65-70","female",0.126544714718859,0.110281425299854,0.142808004137863,"reported_100"
"12","70-75","female",0.176478716746175,0.149294086067,0.203663347425349,"reported_100"
"13","75-80","female",0.229804624776626,0.190400347056986,0.269208902496267,"reported_100"
"14","80-85","female",0.296789150873093,0.248576739696986,0.345001562049201,"reported_100"
"15","85+","female",0.431984231808204,0.369333881272472,0.494634582343935,"reported_100"
"16","65-70","male",0.084352471494212,0.0722050177664307,0.0964999252219933,"reported_100"
"17","70-75","male",0.12081334220665,0.0958995323381425,0.145727152075158,"reported_100"
"18","75-80","male",0.145713039982196,0.123594056124709,0.167832023839682,"reported_100"
"19","80-85","male",0.189717128969964,0.158611247049148,0.220823010890779,"reported_100"
"20","85+","male",0.257918815455293,0.212733204916053,0.303104425994532,"reported_100"
"21","65-70","female",0.0330239894202574,0.0238223933025237,0.0422255855379911,"reported_across"
"22","70-75","female",0.0418196540565645,0.0351453576535391,0.04849395045959,"reported_across"
"23","75-80","female",0.0456814951555784,0.0376225758305143,0.0537404144806425,"reported_across"
"24","80-85","female",0.0686462967437194,0.0570300615019633,0.0802625319854756,"reported_across"
"25","85+","female",0.106964949838175,0.0917817919816689,0.122148107694682,"reported_across"
"26","65-70","male",0.0236073578125475,0.0162497874654555,0.0309649281596395,"reported_across"
"27","70-75","male",0.0259868469677462,0.0185847376147146,0.0333889563207778,"reported_across"
"28","75-80","male",0.0268948533678904,0.0188517162708128,0.034937990464968,"reported_across"
"29","80-85","male",0.0546531234244649,0.042328091937335,0.0669781549115948,"reported_across"
"30","85+","male",0.0838304556337742,0.0654628462971313,0.102198064970417,"reported_across"
