"","age","gender","Impair","CI_low","CI_up","type"
"1","65-70","Man",0.0448231231249143,0.00333929572914717,0.0863069505206814,"tested"
"2","70-75","Man",0.0202963309607735,-0.0105437274838278,0.0511363894053748,"tested"
"3","75-80","Man",0.221169805874287,0.0507274528261699,0.391612158922405,"tested"
"4","80-85","Man",0.241911250510632,0.0259991882057982,0.457823312815465,"tested"
"5","85+","Man",0.645216693418941,0.306993854502254,0.983439532335628,"tested"
"6","65-70","Woman",0.0893326483355298,0.033455280577306,0.145210016093754,"tested"
"7","70-75","Woman",0.175392892329605,0.0622686474223263,0.288517137236884,"tested"
"8","75-80","Woman",0.139425563460411,0.0401813455533789,0.238669781367444,"tested"
"9","80-85","Woman",0.472545708629323,0.286722574467518,0.658368842791129,"tested"
"10","85+","Woman",0.866568313271846,0.744156560554529,0.988980065989164,"tested"
"11","65-70","Man",0.153630285281434,0.0541670884668171,0.253093482096052,"reported_100"
"12","70-75","Man",0.149067455674896,0.0473810511764226,0.25075386017337,"reported_100"
"13","75-80","Man",0.365681604965,0.182820164275182,0.548543045654818,"reported_100"
"14","80-85","Man",0.166102375561695,-0.00151843173815414,0.333723182861544,"reported_100"
"15","85+","Man",0.498119776015239,0.135327896133647,0.860911655896831,"reported_100"
"16","65-70","Woman",0.116097200195572,0.0541698375650167,0.178024562826127,"reported_100"
"17","70-75","Woman",0.197889300550129,0.0874958821020992,0.308282718998159,"reported_100"
"18","75-80","Woman",0.20830184222957,0.0387647806070421,0.377838903852098,"reported_100"
"19","80-85","Woman",0.346912564467901,0.167355942316762,0.526469186619041,"reported_100"
"20","85+","Woman",0.529054210648294,0.204533885547047,0.853574535749542,"reported_100"
"21","65-70","Man",0.0441551005314358,-0.00351930342574751,0.0918295044886192,"reported_across"
"22","70-75","Man",0.0153109361673221,-0.0137725933561176,0.0443944656907618,"reported_across"
"23","75-80","Man",0.151126987563446,0.0247428483716299,0.277511126755261,"reported_across"
"24","80-85","Man",0.147484231006238,-0.0203570534812399,0.315325515493717,"reported_across"
"25","85+","Man",0.31569823434992,-0.0371461881735538,0.668542656873393,"reported_across"
"26","65-70","Woman",0.0225552899948129,-0.00177537890995867,0.0468859588995844,"reported_across"
"27","70-75","Woman",0.0828588613410184,0.0103153519255996,0.155402370756437,"reported_across"
"28","75-80","Woman",0.121967198041537,-0.0215090786984677,0.265443474781542,"reported_across"
"29","80-85","Woman",0.23199798144482,0.0657877335865979,0.398208229303041,"reported_across"
"30","85+","Woman",0.527317492574644,0.218047899330618,0.836587085818671,"reported_across"
